,gender,race,age,dir,p_year,party,major,degree,avg
628,1,1,1,4,3,1,1.0,2,1
629,1,1,3,4,4,1,1.0,3,0
630,1,1,3,4,4,1,1.0,2,1
631,1,1,4,4,4,1,1.0,2,1
632,2,1,3,4,4,1,1.0,2,1
633,1,1,3,4,4,1,1.0,2,1
634,1,1,2,4,4,1,2.0,2,1
635,1,1,5,5,5,1,2.0,3,1
636,1,1,4,4,4,1,5.0,3,1
637,1,1,4,6,5,1,11.0,3,1
638,1,1,4,5,5,1,4.0,3,0
639,1,1,4,4,4,1,5.0,3,1
640,1,1,5,3,5,1,3.0,3,0
641,2,1,4,4,5,1,1.0,3,1
642,1,1,3,4,4,1,10.0,2,0
643,1,1,5,4,4,1,5.0,2,0
644,1,1,4,2,5,1,4.0,2,1
645,2,1,3,6,3,1,3.0,1,1
646,2,1,3,4,4,1,1.0,2,1
647,1,1,2,3,3,1,1.0,2,1
648,1,1,5,5,5,1,1.0,3,1
649,1,1,3,2,4,1,4.0,2,1
650,1,1,3,5,4,1,1.0,2,0
651,1,1,2,4,4,1,4.0,3,0
652,1,2,4,4,4,1,1.0,2,0
653,1,1,4,4,4,1,1.0,3,1
654,1,1,4,6,5,1,3.0,2,1
655,1,1,4,5,4,1,1.0,3,0
656,1,1,4,6,4,1,3.0,3,1
657,1,1,3,4,3,1,2.0,2,1
658,1,2,4,4,4,1,8.0,1,1
659,1,1,4,4,5,1,2.0,1,0
660,1,2,5,4,4,1,4.0,1,0
661,1,1,3,5,4,1,1.0,3,1
662,1,1,4,6,4,1,1.0,2,0
663,1,1,3,6,3,1,2.0,3,1
664,1,1,2,1,4,1,4.0,3,1
665,1,1,3,6,4,1,1.0,3,1
666,2,1,4,6,5,1,1.0,3,1
667,1,1,4,4,4,1,3.0,3,1
668,1,1,3,2,4,1,2.0,2,1
669,1,1,3,5,4,1,5.0,2,1
670,1,1,4,6,4,1,3.0,1,1
671,1,1,4,4,5,1,1.0,2,1
672,1,1,4,4,5,1,2.0,2,0
673,1,1,4,4,4,1,2.0,3,1
674,1,1,4,4,4,1,5.0,2,0
675,1,1,2,6,4,1,1.0,3,1
676,1,1,3,4,4,1,5.0,3,0
677,1,1,4,4,1.0,3,3.0,2,0
678,1,1,3,5,3,1,2.0,2,1
679,1,2,3,5,4,1,3.0,2,0
680,1,1,3,2,4,1,4.0,3,1
681,1,1,4,4,4,1,1.0,2,1
682,1,1,3,5,4,1,8.0,3,1
683,1,2,3,4,4,1,8.0,2,1
684,1,2,3,4,4,1,3.0,1,1
685,1,1,6,5,5,1,2.0,3,1
686,1,1,4,4,4,1,1.0,2,1
687,1,1,4,6,4,1,2.0,1,1
688,1,1,2,4,4,1,9.0,2,1
689,1,2,4,7,4,1,1.0,2,1
690,1,1,4,4,4,1,5.0,1,0
691,1,1,3,6,3,1,3.0,3,1
692,1,1,3,6,1.0,3,5.0,3,1
693,1,1,3,5,4,1,2.0,3,1
694,1,1,3,4,4,1,1.0,2,1
695,2,2,3,4,4,1,1.0,2,1
696,1,1,2,6,3,1,4.0,3,1
697,1,1,4,4,4,1,3.0,3,1
698,1,1,4,3,5,1,3.0,3,1
699,1,2,3,4,3,1,1.0,2,1
700,1,2,3,4,4,1,2.0,3,1
701,2,1,4,4,1.0,3,2.0,3,0
702,1,1,4,4,4,1,1.0,2,0
703,1,1,4,6,4,1,3.0,3,0
704,1,1,4,5,5,1,3.0,3,1
705,1,1,4,2,5,1,3.0,3,1
706,1,1,4,4,5,1,3.0,3,1
707,1,1,5,5,5,1,4.0,3,1
708,1,1,3,6,4,1,2.0,2,0
709,1,1,4,4,4,1,3.0,2,1
710,1,1,6,6,5,1,2.0,2,1
711,1,1,3,1,4,1,2.0,2,1
712,1,2,3,5,4,1,6.0,2,0
713,1,1,3,2,4,1,8.0,3,1
714,1,1,4,6,4,1,3.0,3,1
715,1,1,1,3,3,1,2.0,3,0
716,1,1,3,2,4,1,3.0,2,1
717,1,1,3,4,4,1,3.0,3,1
718,1,1,4,6,4,1,1.0,2,0
719,2,2,3,4,4,1,1.0,2,0
720,1,1,5,6,4,1,3.0,3,1
721,1,1,4,3,5,1,1.0,2,1
722,1,1,4,6,4,1,5.0,3,1
723,1,1,3,3,4,1,1.0,2,1
724,1,1,3,5,3,1,3.0,3,0
725,1,1,5,3,5,1,1.0,2,1
726,1,1,4,1,4,1,3.0,2,1
727,1,1,4,3,4,1,2.0,3,1
728,1,1,3,2,4,1,4.0,1,1
729,1,1,4,6,5,1,3.0,3,1
730,2,1,3,5,4,1,5.0,1,1
731,1,1,3,3,4,1,3.0,3,1
732,1,1,3,5,3,1,2.0,3,0
733,2,1,3,5,4,1,7.0,1,1
734,2,1,3,3,4,1,1.0,2,0
735,1,1,3,2,4,1,2.0,2,1
736,1,1,4,3,3,1,3.0,3,0
737,1,1,4,2,5,1,8.0,3,1
738,1,1,5,3,5,1,1.0,2,0
739,1,1,4,2,4,1,5.0,3,0
740,1,2,4,3,4,1,3.0,2,1
741,1,1,4,3,4,1,2.0,1,0
742,1,1,4,2,4,1,9.0,1,0
743,1,1,4,4,4,1,1.0,2,1
744,1,1,4,2,4,1,2.0,2,1
745,1,1,4,3,1.0,3,6.0,3,0
746,1,1,3,3,4,1,1.0,3,1
747,1,1,4,3,4,1,5.0,3,1
748,1,1,3,5,4,1,3.0,2,0
749,1,1,4,3,4,1,3.0,2,1
750,1,1,1,1,3,1,3.0,2,1
751,1,1,4,3,4,1,5.0,2,0
752,1,2,5,4,4,1,1.0,3,1
753,1,1,4,3,4,1,10.0,3,0
754,1,1,4,6,4,1,5.0,1,0
755,1,1,4,4,4,1,2.0,3,1
756,2,1,3,6,4,1,1.0,2,0
757,1,1,3,6,4,1,3.0,3,1
758,1,1,2,2,4,1,1.0,3,0
759,1,1,4,6,4,1,1.0,2,1
760,1,1,3,6,4,1,1.0,2,1
761,1,2,4,3,4,1,2.0,3,1
762,1,1,4,1,4,1,4.0,2,1
763,1,2,4,3,5,1,7.0,1,0
764,1,1,4,1,4,1,3.0,3,0
765,2,1,3,5,4,1,1.0,2,1
766,1,1,3,6,4,1,1.0,2,1
767,1,2,4,3,5,1,1.0,2,0
768,1,1,3,6,4,1,1.0,2,1
769,1,1,4,3,4,1,1.0,2,0
770,1,1,4,6,5,1,4.0,2,1
771,1,1,4,6,2.0,2,3.0,1,1
772,1,1,4,3,5,1,3.0,3,1
773,1,1,4,6,4,1,4.0,1,0
774,1,1,4,3,4,1,6.0,2,0
775,1,1,4,5,4,1,1.0,2,0
776,1,1,4,3,1.0,3,3.0,2,0
777,1,2,3,3,4,1,2.0,1,1
778,1,1,3,5,4,1,6.0,3,1
779,1,1,4,6,4,1,1.0,2,1
780,1,1,4,1,4,1,4.0,3,1
781,1,1,2,4,4,1,2.0,2,1
782,1,1,5,6,4,1,3.0,2,0
783,1,1,3,6,3,1,3.0,3,1
784,1,2,3,1,3,1,5.0,1,1
785,1,1,5,6,5,1,1.0,2,1
786,2,2,5,3,5,1,1.0,3,1
787,1,2,3,6,4,1,2.0,2,1
788,1,2,6,3,4,1,1.0,2,1
789,1,1,4,6,4,1,1.0,3,1
790,1,1,4,4,5,1,1.0,2,1
791,1,1,4,4,5,1,1.0,2,1
792,1,1,4,2,4,1,4.0,2,1
793,1,1,4,1,4,1,3.0,3,1
794,1,1,4,5,4,1,3.0,2,1
795,1,1,3,5,4,1,1.0,2,1
796,1,1,4,4,4,1,2.0,3,0
797,1,2,4,3,5,1,2.0,2,0
798,2,1,4,5,4,1,1.0,2,0
799,1,2,4,3,4,1,1.0,2,1
