,gender,race,age,dir,p_year,party,major,degree,avg
142,1,1,3,6,3,1,1.0,3,1
143,1,1,4,2,4,1,1.0,2,1
144,1,1,4,1,5,1,2.0,3,0
145,1,1,4,2,4,1,3.0,2,1
146,1,1,4,6,5,1,7.0,1,1
147,1,1,2,1,4,1,2.0,1,1
148,2,1,4,6,4,1,4.0,3,1
149,1,1,2,2,3,1,1.0,2,0
150,1,1,3,5,3,1,2.0,3,1
151,1,1,3,2,4,1,1.0,2,1
152,1,1,3,6,4,1,1.0,2,1
153,1,1,5,2,5,1,4.0,2,1
154,1,1,4,6,4,1,1.0,3,0
155,1,2,4,2,4,1,3.0,3,1
156,1,2,2,2,3,1,1.0,2,1
157,1,1,2,4,3,1,1.0,2,1
158,1,1,4,6,5,1,9.0,3,0
159,1,1,4,3,2.0,2,6.0,3,0
160,1,2,3,2,4,1,4.0,1,1
161,2,2,5,2,4,1,4.0,3,1
162,1,1,2,6,4,1,10.0,1,1
163,1,1,5,3,5,1,7.0,1,1
164,1,2,4,2,4,1,4.0,3,0
165,1,1,3,1,3,1,3.0,2,1
166,1,1,3,4,4,1,1.0,2,1
167,1,1,4,5,4,1,4.0,2,0
168,1,2,4,2,4,1,5.0,1,1
169,1,1,4,7,4,1,2.0,2,0
170,2,2,4,1,4,1,1.0,2,1
171,1,1,4,6,3,1,11.0,2,0
172,1,2,4,2,4,1,7.0,1,0
173,1,1,3,2,4,1,4.0,2,1
174,1,2,2,1,4,1,6.0,2,1
175,1,1,4,2,4,1,1.0,2,1
176,1,2,4,2,5,1,3.0,2,1
177,2,2,4,1,4,1,2.0,3,0
178,1,1,4,6,4,1,3.0,1,1
179,1,1,3,2,4,1,1.0,2,1
180,1,1,4,2,4,1,6.0,2,0
181,1,1,3,2,3,1,2.0,2,1
182,1,2,4,1,4,1,2.0,3,1
183,1,1,3,2,4,1,7.0,2,1
184,1,1,4,4,4,1,4.0,3,0
185,2,1,4,1,4,1,2.0,2,1
186,2,1,4,1,4,1,2.0,2,0
187,1,1,4,4,4,1,5.0,1,1
188,1,1,4,7,4,1,10.0,3,0
189,1,1,4,1,5,1,1.0,3,1
190,1,1,4,1,4,1,1.0,2,1
191,1,1,3,1,4,1,2.0,2,1
192,1,1,6,6,2.0,2,2.0,3,1
193,1,1,4,6,4,1,3.0,1,1
194,1,1,4,1,4,1,3.0,2,1
195,1,2,2,5,4,1,2.0,3,1
196,1,1,4,1,5,1,3.0,2,1
197,1,1,4,2,4,1,3.0,2,0
198,1,1,3,5,4,1,1.0,2,1
199,1,1,4,1,4,1,1.0,2,1
200,1,1,4,1,4,1,3.0,3,1
201,1,1,4,3,4,1,3.0,2,1
202,1,1,4,2,5,1,3.0,1,1
203,1,1,5,6,4,1,2.0,3,1
204,2,1,4,5,4,1,4.0,2,0
205,1,1,1,6,3,1,2.0,3,1
206,1,2,4,5,3,1,4.0,2,1
